code,date,termination_date,timestamp,exact,status,country,provider,mobile_subscriptions_2009,mobile_subscriptions_2010,mobile_subscriptions_2011,mobile_subscriptions_2012,mobile_subscriptions_2013,mobile_subscriptions_2014,mobile_subscriptions_2015,mobile_subscriptions_2016,gdp_2009,gdp_2010,gdp_2011,gdp_2012,gdp_2013,gdp_2014,gdp_2015,gdp_2016,individual_net_usage_2009,individual_net_usage_2010,individual_net_usage_2011,individual_net_usage_2012,individual_net_usage_2013,individual_net_usage_2014,individual_net_usage_2015,individual_net_usage_2016
IDX,,,,,,,,30.2,37.1,45.9,52.2,59.3,66.6,71.9,72.0,652.65,742.44,832.52,878.18,955.93,1031.40,1040.92,1074.01,3.41,5.02,5.64,6.91,8.55,11.75,14.42,17.11
IMN,,,,,,,,,,,,,,,,5.49,5.92,6.14,6.43,6.75,7.43,6.79,0.00,,,,,,,,
IND,2/10/2015,2/10/2016,1423526400,Exact,Added,India,Reliance Communications,44.1,62.4,73.2,69.9,70.8,74.5,78.1,87.0,1323.94,1656.62,1823.05,1827.64,1856.72,2035.39,2089.87,2263.79,5.12,7.50,10.07,12.58,15.10,21.00,26.00,29.55
INX,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
IRL,,,,,,,,106.7,105.2,108.5,109.6,105.5,105.0,103.7,103.6,236.31,221.95,239.02,225.57,239.39,258.10,290.62,304.82,67.38,69.85,74.89,76.92,78.25,79.69,80.12,82.17
IRN,,,,,,,,71.5,72.6,74.3,76.1,84.2,87.8,93.4,100.1,414.06,487.07,583.50,598.85,467.42,434.48,385.87,418.98,13.80,15.90,19.00,22.73,29.95,39.35,45.33,53.23
IRQ,12/1/2015,,1448928000,Not exact,Added,Iraq,AsiaCell,66.7,75.1,80.2,81.6,96.1,94.9,93.8,82.2,111.66,138.52,185.75,218.00,234.65,234.65,179.64,171.49,1.06,2.50,5.00,7.10,9.20,13.21,17.22,21.23
ISL,,,,,,,,108.3,107.2,106.8,108.1,108.1,111.1,114.0,118.0,12.89,13.25,14.67,14.22,15.48,17.18,16.78,20.05,93.00,93.39,94.82,96.21,96.55,98.16,98.20,98.24
ISR,,,,,,,,124.0,122.8,122.0,120.7,122.8,121.5,133.5,131.7,207.42,233.61,261.63,257.30,292.49,308.42,299.10,317.75,63.12,67.50,68.87,70.80,70.25,75.02,77.35,79.78
ITA,,,,,,,,149.5,154.8,158.1,159.6,158.8,147.2,143.4,140.4,2185.16,2125.06,2276.29,2072.82,2130.49,2151.73,1832.35,1858.91,48.83,53.68,54.39,55.83,58.46,55.64,58.14,61.32
JAM,10/13/2016,,1476316800,Not exact,Added,Jamaica,Digicel,108.3,116.1,106.9,98.0,102.2,107.4,111.5,115.6,12.04,13.19,14.44,14.80,14.27,13.90,14.19,14.06,24.30,27.67,37.44,33.79,37.10,40.40,42.22,45.00
JOR,5/1/2017,,1493596800,Missing Data,Added,Jordan,Zain,97.3,102.6,111.2,128.2,141.8,147.8,179.4,196.3,23.82,26.43,28.84,30.94,33.59,35.83,37.52,38.65,26.00,27.20,34.90,37.00,41.40,46.20,60.11,62.30
JPN,,,,,,,,91.3,96.8,104.3,110.9,116.3,122.2,126.5,129.8,5231.38,5700.10,6157.46,6203.21,5155.72,4848.73,4383.08,4940.16,78.00,78.21,79.05,79.50,88.22,89.11,91.06,92.00
KAZ,,,,,,,,108.4,121.9,156.8,185.8,184.7,172.2,156.9,150.0,115.31,148.05,192.63,208.00,236.64,221.42,184.39,137.28,18.20,31.60,50.60,53.32,63.00,66.00,72.90,76.80
KEN,,,,,,,,48.6,61.0,66.8,71.2,71.8,73.8,80.7,81.3,37.02,40.00,41.95,50.41,55.10,61.45,63.77,70.53,6.10,7.20,8.80,10.50,13.00,16.50,21.00,26.00
KGZ,,,,,,,,85.2,98.9,116.2,124.2,121.4,134.5,132.8,131.4,4.69,4.79,6.20,6.61,7.34,7.47,6.68,6.55,16.00,16.30,17.50,19.80,23.00,28.30,30.25,34.50
KHM,10/8/2015,,1444262400,Exact,Added,Cambodia,Smart Axiata,44.3,56.7,94.2,128.5,133.9,132.7,133.0,124.9,10.40,11.24,12.83,14.04,15.45,16.78,18.05,20.02,0.53,1.26,3.10,4.94,6.80,14.00,19.00,25.57
KIR,,,,,,,,10.3,10.8,13.9,17.9,19.5,28.9,38.8,51.3,0.13,0.15,0.18,0.19,0.19,0.18,0.17,0.18,8.97,9.07,10.00,10.75,11.50,12.25,13.00,13.70
KNA,10/13/2016,,1476316800,Not exact,Added,Saint Kitts and Nevis,Digicel,145.9,152.8,145.4,141.8,142.1,118.6,131.8,136.9,0.72,0.71,0.75,0.73,0.79,0.85,0.88,0.91,55.70,63.00,63.20,64.00,64.60,68.00,75.70,76.82
KOR,,,,,,,,99.5,104.8,107.7,109.4,111.0,115.7,118.5,122.7,901.94,1094.50,1202.46,1222.81,1305.60,1411.33,1382.76,1411.25,81.60,83.70,83.76,84.07,84.77,87.56,89.65,92.72
KWT,,,,,,,,91.9,133.0,157.9,156.9,190.3,218.4,163.2,146.6,105.90,115.42,154.03,174.07,174.16,162.63,114.57,110.88,50.80,61.40,65.77,70.45,75.46,78.70,77.52,78.37
LAC,,,,,,,,86.8,95.5,104.0,108.5,114.3,113.7,109.8,108.3,3953.16,4923.61,5605.04,5639.93,5771.41,5905.52,5012.59,4853.04,30.52,34.20,38.75,42.52,45.62,48.08,53.70,55.81
LAO,,,,,,,,51.6,62.6,84.0,64.7,68.1,67.0,53.1,55.4,5.83,7.13,8.75,10.19,11.94,13.27,14.39,15.81,6.00,7.00,9.00,10.75,12.50,14.26,18.20,21.87
LBN,,,,,,,,56.3,66.0,77.2,80.8,80.6,88.3,92.2,96.4,35.48,38.42,40.08,43.87,46.01,47.83,49.46,49.60,30.14,43.68,52.00,61.25,70.50,73.00,74.00,76.11
LBR,10/22/2015,,1445472000,Not Exact,Added,Liberia,Orange,28.4,39.7,49.5,56.8,59.4,73.4,81.1,83.1,1.16,1.29,1.55,1.74,1.95,2.01,2.03,2.10,2.00,2.30,2.50,2.60,3.20,5.41,5.90,7.32
LBY,,,,,,,,159.9,180.4,163.8,155.8,165.0,135.9,154.3,119.8,63.03,74.77,34.70,0.00,0.00,0.00,0.00,0.00,10.80,14.00,14.00,,16.50,17.76,19.02,20.27
LCA,,,,,,,,108.3,111.7,120.8,119.4,116.3,102.6,101.5,94.8,1.26,1.38,1.44,1.44,1.49,1.55,1.65,1.67,36.00,43.30,44.00,45.90,46.20,50.00,42.53,46.73
LCN,,,,,,,,87.4,96.4,104.9,109.4,115.0,114.4,110.6,109.1,4302.16,5334.53,6064.28,6121.69,6272.30,6388.91,5473.91,5319.55,31.03,34.71,39.35,43.18,46.26,48.77,54.28,56.37
LDC,,,,,,,,26.5,33.1,42.2,48.5,55.8,63.1,67.9,67.7,582.62,662.22,752.47,798.49,866.51,939.17,928.17,941.64,2.71,4.27,4.80,6.06,7.54,10.47,13.02,15.61
LIC,,,,,,,,22.5,28.7,36.0,41.9,49.1,54.7,60.0,60.2,271.57,292.82,329.34,354.48,383.25,413.03,403.75,403.54,2.37,3.26,3.72,4.71,6.06,7.71,10.25,12.50
LIE,,,,,,,,97.6,98.3,101.6,98.4,104.1,109.3,109.3,116.4,4.50,5.08,5.74,5.46,6.39,6.66,6.29,0.00,75.00,80.00,85.00,89.41,93.80,95.21,96.64,98.09
LKA,,,,,Planned,Sri Lanka,,79.1,83.6,87.5,91.6,95.5,103.2,110.6,118.5,42.07,56.73,65.29,68.43,74.32,79.36,80.61,81.32,8.78,12.00,15.00,18.29,21.90,25.80,29.99,32.05
LMC,,,,,,,,54.0,67.6,77.9,80.6,83.7,87.9,90.0,95.3,3727.80,4666.99,5279.43,5535.33,5774.46,6076.54,6017.05,6263.27,7.99,10.96,13.17,15.70,18.31,22.69,26.82,29.85
LMY,,,,,,,,60.1,70.1,78.6,83.2,88.4,92.0,93.4,96.9,17023.00,20751.80,24509.90,26089.30,27662.40,28705.80,27199.20,27300.00,16.44,20.17,23.02,26.21,29.04,32.42,36.07,38.98
LSO,,,,,,,,33.2,49.2,60.7,75.3,86.3,102.0,100.9,106.6,1.87,2.39,2.79,2.68,2.53,2.61,2.51,2.29,3.72,3.86,7.00,10.00,15.00,22.00,25.00,27.36
LTE,,,,,,,,74.4,83.0,90.6,98.3,105.1,109.0,107.4,110.4,11258.20,13513.70,16480.00,17632.20,19013.60,19698.70,18459.60,18460.00,30.60,36.03,40.04,44.64,48.32,50.88,53.59,56.54
LTU,,,,,,,,159.9,159.4,162.2,165.1,151.3,141.9,139.5,140.7,37.44,37.12,43.48,42.85,46.47,48.55,41.40,42.74,59.76,62.12,63.64,67.23,68.45,72.13,71.38,74.38
LUX,,,,,,,,144.5,143.1,148.2,145.4,148.6,149.5,148.5,147.8,51.37,53.21,60.00,56.68,61.74,66.33,57.78,58.63,87.31,90.62,90.03,91.95,93.78,94.67,97.33,97.49
LVA,,,,,,,,109.1,110.3,111.4,127.7,124.8,116.8,127.5,131.2,26.17,23.76,28.22,28.12,30.31,31.42,27.01,27.57,66.84,68.42,69.75,73.12,75.23,75.83,79.20,79.89
MAC,,,,,,,,198.9,209.9,247.7,289.8,304.1,322.6,324.4,332.1,21.48,28.12,36.71,43.03,51.55,55.35,45.36,45.31,54.00,55.20,60.20,61.31,65.80,69.78,77.60,81.64
MAF,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
MAR,,,,,,,,80.9,101.1,114.0,120.0,128.5,131.7,126.9,120.7,92.90,93.22,101.37,98.27,106.83,110.08,101.19,103.61,41.30,52.00,46.11,55.42,56.00,56.80,57.08,58.27
MCO,,,,,,,,63.3,63.5,85.3,88.3,93.7,88.5,88.8,86.3,5.56,5.35,6.07,0.00,0.00,0.00,0.00,0.00,70.10,75.00,80.30,87.00,90.70,92.40,93.36,95.21
MDA,,,,,,,,59.3,71.4,90.8,102.0,106.0,108.0,108.0,111.0,5.44,5.81,7.02,7.28,7.99,7.98,6.51,6.75,27.50,32.30,38.00,43.37,45.00,46.60,63.31,71.00
MDG,6/1/2016,,1464739200,Not exact,Added,Madagascar,Blueline,30.7,36.6,40.0,39.4,36.9,41.2,44.1,41.8,8.55,8.73,9.89,9.92,10.60,10.67,9.74,10.00,1.63,1.70,1.90,2.30,3.00,3.70,4.17,4.71
MDV,10/15/2015,,1444867200,Exact,Added,Maldives,Ooredoo,143.2,151.8,159.8,165.6,181.2,189.4,206.7,223.0,2.35,2.59,2.77,2.89,3.30,3.70,4.01,4.22,24.80,26.53,34.00,38.93,44.10,49.28,54.46,59.09
MEA,,,,,,,,82.7,92.9,99.7,104.9,110.6,111.3,111.9,111.2,2368.22,2767.98,3282.39,3529.76,3524.02,3563.56,3147.28,3144.80,21.60,24.85,27.78,31.56,35.25,40.14,44.23,47.62
MEX,12/14/2015,,1450051200,Not exact,Added,Mexico,Virgin Mobile,71.5,77.5,79.2,83.4,87.3,84.8,86.0,88.2,894.95,1051.13,1171.19,1186.60,1261.98,1298.46,1152.26,1046.92,26.34,31.05,37.18,39.75,43.46,44.39,57.43,59.54
MHL,,,,,,,,,,,,,29.4,29.2,,0.15,0.16,0.17,0.19,0.19,0.18,0.18,0.19,5.60,7.00,10.00,12.50,14.00,16.80,19.28,29.79
MIC,,,,,,,,63.9,74.5,83.2,87.7,92.7,96.2,97.2,101.1,16755.60,20458.60,24178.90,25733.30,27278.20,28292.80,26796.10,26897.00,17.89,21.89,25.06,28.51,31.48,35.09,38.90,41.93
MKD,,,,,,,,92.5,102.4,105.2,106.2,106.2,105.5,98.8,100.7,9.40,9.41,10.49,9.75,10.82,11.36,10.05,10.90,51.77,51.90,56.70,57.45,65.24,68.06,70.38,72.16
MLI,,,,,,,,32.9,53.2,75.1,98.4,129.1,149.1,139.6,120.3,10.18,10.68,12.98,12.44,13.25,14.39,13.10,14.03,1.80,2.00,2.20,2.80,3.50,7.00,10.33,11.11
MLT,,,,,,,,99.8,107.3,122.4,124.4,129.8,127.0,121.5,124.8,8.53,8.74,9.50,9.20,10.15,11.22,10.29,11.00,58.86,63.00,68.02,68.20,68.91,73.17,76.18,77.29
MMR,6/6/2016,,1465171200,Not exact,Added,Myanmar,Myanma Posts and Telecommunications,1.0,1.1,2.4,7.1,12.8,54.0,75.7,89.3,36.91,49.54,59.98,59.94,60.27,65.45,59.69,63.23,0.22,0.25,0.98,4.00,8.00,11.52,21.73,25.07
MNA,,,,,,,,72.5,82.0,89.1,95.1,100.8,101.5,102.3,102.8,1195.89,1383.54,1568.52,1681.55,1591.68,1591.56,1441.98,1453.90,17.67,20.62,22.87,26.14,29.66,34.69,39.01,42.47
MNE,,,,,,,,208.9,188.7,186.8,159.5,159.9,163.0,162.2,167.5,4.16,4.14,4.54,4.09,4.46,4.59,4.05,4.37,35.10,37.50,35.61,56.84,60.31,61.00,68.12,69.88
MNG,7/1/2015,,1435708800,Missing Data,Added,Mongolia,Skytel,84.2,92.5,106.8,120.7,101.4,105.1,105.0,113.6,4.58,7.19,10.41,12.29,12.58,12.23,11.75,11.18,10.00,10.20,12.50,16.40,17.70,19.94,21.44,22.27
MNP,,,,,,,,,,,,,,,,0.80,0.80,0.73,0.75,0.78,0.85,0.93,1.24,,,,,,,,
MOZ,3/22/2015,,1426982400,Missing Data,Added,Mozambique,Mcel,25.6,30.1,32.0,34.9,48.0,69.8,74.2,66.3,10.91,10.15,13.13,14.53,16.02,16.96,14.80,11.01,2.68,4.17,4.30,6.00,7.29,9.24,16.93,17.52
MRT,2/5/2015,,1423094400,Missing Data,Added,Mauritania,Mauritel,62.1,76.9,89.5,106.0,102.5,94.2,89.3,86.5,3.67,4.34,5.18,5.23,5.72,5.39,4.84,4.74,2.28,4.00,4.50,5.00,6.20,10.70,15.20,18.00
MUS,,,,,,,,88.6,96.8,104.8,119.9,123.2,132.2,140.6,144.2,9.13,10.00,11.52,11.67,12.13,12.80,11.69,12.17,22.51,28.33,34.95,35.42,40.12,44.80,50.14,53.23
MWI,5/13/2015,,1431475200,Exact,Added,Malawi,TNM,17.1,20.8,25.6,29.2,32.3,33.5,37.9,40.3,6.19,6.96,8.00,6.03,5.52,6.05,6.37,5.43,1.07,2.26,3.33,4.35,5.05,5.83,9.30,9.61
MYS,,,,,,,,108.5,119.7,127.5,141.3,144.7,148.8,143.9,141.2,202.26,255.02,297.95,314.44,323.28,338.06,296.43,296.54,55.90,56.30,61.00,65.80,57.06,63.67,71.06,78.79
NAC,,,,,,,,86.9,89.8,92.8,94.4,95.5,107.3,114.1,122.9,15795.70,16583.60,17312.10,17985.10,18539.70,19191.80,19679.40,20160.30,71.92,72.54,71.04,75.52,72.83,74.40,75.94,77.54
NAM,,,,,,,,76.1,89.5,99.0,95.0,118.4,113.8,106.6,109.2,8.88,11.28,12.41,13.02,12.72,12.79,11.57,10.95,6.50,11.60,12.00,12.94,13.90,14.84,25.69,31.03
NCL,,,,,,,,86.3,89.6,91.0,91.2,93.8,93.6,98.9,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.99,42.00,50.00,58.00,66.00,70.00,74.00,
NER,5/1/2016,,1462060800,Not exact,Added,Niger,Airtel,17.0,23.1,28.7,31.4,39.3,44.4,46.5,48.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.83,1.30,1.41,1.70,1.95,2.48,4.32
NGA,5/10/2016,,1462838400,Exact,Added,Nigeria,Airtel,48.0,54.7,58.0,66.8,73.3,77.8,82.2,81.8,169.48,369.06,411.74,460.95,514.97,568.50,481.07,404.65,9.30,11.50,13.80,16.10,19.10,21.00,24.50,25.67
NIC,,,,,,,,58.2,68.1,81.7,97.7,112.0,114.6,116.1,122.1,8.30,8.76,9.77,10.53,10.98,11.88,12.75,13.23,7.30,10.00,10.60,13.50,15.50,17.60,19.70,24.57
NLD,,,,,Prohibited,Netherlands,,121.7,115.4,119.0,118.0,116.2,116.4,123.5,130.0,857.93,836.39,893.76,828.95,866.68,879.64,758.00,777.23,89.63,90.72,91.42,92.86,93.96,91.67,91.72,90.41
NOR,,,,,Prohibited,Norway,,110.7,114.5,115.8,116.1,112.9,112.7,111.1,110.1,386.62,429.13,498.83,510.23,523.50,499.34,386.66,371.08,92.08,93.39,93.49,94.65,95.05,96.30,96.81,97.30
NPL,,,,,,,,21.1,34.3,49.2,60.5,76.8,81.9,96.7,111.7,12.85,16.00,18.91,18.85,19.27,20.00,21.41,21.13,1.97,7.93,9.00,11.15,13.30,15.44,17.58,19.69
NRU,,,,,,,,,61.8,66.8,67.8,,,92.9,97.3,0.04,0.05,0.07,0.10,0.11,0.12,0.10,0.10,,,54.00,,,,,
NZL,,,,,,,,108.7,107.8,109.2,110.4,105.8,112.1,121.8,125.0,121.34,146.58,168.46,176.19,190.52,200.70,175.56,184.97,79.70,80.46,81.23,81.64,82.78,85.50,88.22,88.47
OED,,,,,,,,100.0,101.4,104.8,107.4,109.2,112.7,114.9,118.0,42579.70,44606.20,47923.40,47828.50,48405.20,49370.10,46659.00,47552.60,65.32,67.62,68.53,70.95,72.26,73.85,76.52,78.59
OMN,,,,,,,,149.1,164.3,159.0,159.3,154.6,157.8,159.9,159.2,48.39,58.64,67.94,76.69,78.94,81.03,69.83,66.29,26.80,35.83,48.00,60.00,66.45,70.22,66.13,69.82
OSS,,,,,,,,79.4,88.7,98.0,105.1,112.6,120.0,123.1,124.2,276.26,320.79,395.82,413.32,431.01,444.73,369.95,362.08,20.80,24.40,28.02,31.35,36.17,39.89,43.43,45.59
PAK,5/28/2015,,1432771200,Exact,Added,Pakistan,Telenor,55.5,57.3,61.8,67.1,70.1,73.3,66.9,71.4,168.15,177.41,213.59,224.38,231.22,244.36,270.56,278.91,7.50,8.00,9.00,9.96,10.90,12.00,14.00,15.51
PAN,10/13/2016,,1476316800,Not exact,Added,Panama,Digicel,167.8,180.7,180.1,163.4,160.6,158.1,174.2,172.3,26.59,28.92,34.37,39.95,44.86,49.17,52.13,55.19,39.08,40.10,42.70,40.30,44.03,44.92,51.21,54.00
PER,9/1/2015,,1441065600,Not exact,Added,Peru,Entel,85.4,99.5,109.6,98.0,98.1,103.6,109.9,117.1,120.82,147.53,171.76,192.65,201.22,201.05,189.21,192.21,31.40,34.77,36.01,38.20,39.20,40.20,40.90,45.46
PHL,3/17/2015,,1426550400,Exact,Added,Philippines,Globe,82.3,89.0,99.1,105.5,104.5,111.2,115.8,109.2,168.34,199.59,224.14,250.09,271.84,284.59,292.77,304.91,9.00,25.00,29.00,36.24,48.10,49.60,53.70,55.50
PLW,,,,,,,,62.6,70.9,75.0,82.6,85.8,90.6,111.5,,0.19,0.18,0.20,0.22,0.23,0.25,0.30,0.31,,,,,,,,
PNG,,,,,,,,21.1,27.8,34.2,37.8,41.0,44.9,46.6,48.6,11.62,14.25,17.98,21.30,21.26,23.00,21.06,20.21,1.61,1.28,2.00,3.50,5.10,6.50,7.90,9.60
POL,,,,,Planned,Poland,,117.3,122.9,131.3,141.5,149.1,148.9,142.7,146.2,440.35,479.26,528.73,500.28,524.20,545.08,477.28,471.36,58.97,62.32,61.95,62.31,62.85,66.60,68.00,73.30
PRE,,,,,,,,37.9,44.3,51.7,57.4,63.6,68.8,72.1,70.2,728.48,1011.12,1168.22,1283.81,1404.10,1499.82,1302.67,1208.73,4.41,6.29,7.19,8.68,10.42,12.49,15.15,17.35
PRI,,,,,,,,72.9,79.1,84.0,82.6,83.6,87.1,87.1,87.8,96.39,98.38,100.35,101.08,103.14,0.00,0.00,0.00,41.50,45.30,48.00,69.00,69.00,76.13,79.47,80.32
PRK,,,,,,,,0.3,1.8,4.1,6.9,9.7,11.2,12.9,14.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
PRT,,,,,,,,111.5,115.3,116.4,112.4,113.0,112.1,110.4,109.1,243.75,238.30,244.90,216.37,226.07,229.63,199.42,204.84,48.27,53.30,55.25,60.34,62.10,64.59,68.63,70.42
PRY,,,,,,,,88.5,91.7,99.3,101.6,103.7,105.6,105.4,104.8,15.93,20.03,25.10,24.60,28.97,30.88,27.28,27.42,18.90,19.80,24.76,29.34,36.90,43.00,48.44,51.35
PSE,,,,,,,,46.0,64.9,70.1,74.3,73.7,72.1,77.6,76.8,7.27,8.91,10.47,11.28,12.48,12.72,12.67,13.40,32.23,37.40,41.08,43.40,46.60,53.67,57.42,61.18
PSS,,,,,,,,47.9,55.1,63.1,69.6,72.3,75.0,80.1,80.4,5.78,6.40,7.59,8.11,8.38,8.77,8.60,9.02,10.88,12.99,17.67,20.76,22.08,24.79,28.01,30.68
PST,,,,,,,,104.1,104.8,108.4,110.8,112.6,116.9,119.6,122.5,40676.20,42413.60,45525.60,45453.80,45848.60,46735.00,44242.80,45213.30,68.84,70.95,71.40,74.22,75.70,77.36,79.05,80.94
PYF,,,,,,,,78.5,80.5,82.3,83.1,87.9,91.2,94.9,77.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.60,49.00,49.00,52.88,56.80,60.68,64.56,68.44
QAT,,,,,,,,124.6,125.0,120.5,126.9,152.6,145.8,159.1,147.1,97.80,125.12,167.78,186.83,198.73,206.23,164.64,152.45,53.10,69.00,69.00,69.30,85.30,91.49,92.88,94.29
ROU,,,,,Planned,Romania,,114.5,111.4,107.4,105.0,105.6,105.9,107.1,106.4,167.42,168.00,185.36,171.67,191.55,199.49,177.91,187.59,36.60,39.93,40.01,45.88,49.76,54.08,55.76,59.50
RUS,,,,,,,,160.1,165.5,142.0,145.3,152.8,155.1,160.0,163.3,1222.64,1524.92,2051.66,2210.26,2297.13,2063.66,1365.86,1283.16,29.00,43.00,49.00,63.80,67.97,70.52,73.41,76.41
RWA,2/26/2014,,1393372800,Not exact,Added,Rwanda,Airtel,23.1,32.7,39.9,49.7,56.8,64.0,70.5,69.9,5.38,5.77,6.49,7.32,7.62,8.02,8.26,8.38,7.70,8.00,7.00,8.02,9.00,10.60,18.00,20.00
SAS,,,,,,,,44.4,59.6,69.6,68.8,71.2,75.1,77.6,84.8,1665.59,2042.14,2272.01,2297.91,2356.88,2578.26,2682.80,2892.48,5.16,7.21,9.39,11.51,13.75,19.07,23.19,26.47
SAU,,,,,Planned,Saudi Arabia,,167.4,189.2,194.5,187.4,184.2,179.6,176.6,157.6,429.10,528.21,671.24,735.98,746.65,756.35,651.76,646.44,38.00,41.00,47.50,54.00,60.50,64.71,69.62,73.75
SDN,12/13/2017,,1513123200,Not exact,Added,Sudan,Zain,36.1,41.5,68.8,74.4,72.9,72.2,70.5,68.6,53.15,65.63,67.33,68.13,72.07,82.15,97.16,95.58,,16.70,17.46,21.00,22.70,24.64,26.61,28.00
SEN,6/5/2015,,1433462400,Exact,Added,Senegal,Tigo,54.8,64.4,70.2,83.6,92.9,98.8,99.9,98.7,12.81,12.95,14.39,14.23,14.85,15.30,13.64,14.68,7.50,8.00,9.80,10.80,13.10,17.70,21.69,25.66
SGP,,,,,Planned,Singapore,,138.7,145.4,150.1,152.1,155.9,146.9,146.5,146.9,192.41,236.42,275.60,289.16,302.51,308.14,296.84,296.98,69.00,71.00,71.00,72.00,80.90,79.03,79.01,81.00
SLB,,,,,,,,9.7,21.9,51.1,55.0,57.6,65.8,72.7,69.9,0.60,0.67,0.89,1.03,1.06,1.16,1.13,1.20,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00
SLE,,,,,,,,20.6,34.8,36.4,37.0,65.7,76.7,89.5,97.6,2.49,2.62,2.94,3.80,4.92,5.02,4.25,3.74,0.26,0.58,0.90,2.50,4.00,6.06,6.34,11.77
SLV,4/28/2016,,1461801600,Exact,Added,El Salvador,Digicel,122.4,123.8,132.9,137.3,141.8,144.0,145.3,140.7,20.66,21.42,23.14,23.81,24.35,25.05,26.05,26.80,12.11,15.90,18.90,20.32,23.11,24.76,26.80,29.00
SMR,,,,,,,,97.6,99.1,114.2,115.2,117.0,118.8,115.2,114.5,2.36,2.14,2.05,1.80,1.87,1.85,1.57,1.59,54.21,,49.60,,,,,
SOM,,,,,,,,6.8,6.7,18.2,22.6,49.4,50.9,52.5,58.1,0.00,0.00,0.00,0.00,5.35,5.65,5.93,6.22,1.16,,1.25,1.38,1.50,1.63,1.76,1.88
SRB,,,,,,,,124.4,125.3,130.2,117.8,119.4,122.1,120.5,120.6,42.62,39.46,46.47,40.74,45.52,44.21,37.16,38.30,38.10,40.90,42.20,48.10,53.45,62.08,65.32,67.06
SSA,,,,,,,,37.7,44.4,53.1,59.7,66.0,70.9,76.1,74.4,1021.65,1366.21,1537.73,1612.40,1698.25,1779.87,1605.55,1511.48,4.65,7.15,8.49,10.36,12.41,14.77,17.75,20.00
SSD,,,,,,,,,14.4,17.3,21.2,25.3,24.5,23.9,21.5,12.23,15.73,17.83,10.37,13.26,13.28,9.02,0.00,,,,,3.83,4.52,5.50,6.68
SSF,,,,,,,,37.7,44.4,53.1,59.7,66.0,70.9,76.1,74.4,1022.50,1367.18,1538.80,1613.53,1699.66,1781.29,1606.99,1512.91,4.65,7.15,8.49,10.37,12.42,14.77,17.76,20.00
SST,,,,,,,,84.1,91.8,98.0,102.7,109.5,115.7,118.7,120.2,337.92,388.14,469.60,492.08,510.67,524.89,448.06,437.80,22.44,25.96,30.23,32.95,37.13,40.65,43.90,46.22
STP,,,,,,,,46.7,57.6,62.8,65.0,64.9,64.9,91.2,85.3,0.19,0.20,0.23,0.25,0.30,0.35,0.32,0.34,16.41,18.75,20.16,21.57,23.00,24.41,25.82,28.00
SUR,10/13/2016,,1476316800,Not exact,Added,Suriname,Digicel,146.9,99.3,100.7,106.5,161.1,170.6,136.8,145.9,3.88,4.37,4.42,4.98,5.15,5.24,4.83,3.28,31.36,31.59,32.00,34.68,37.40,40.08,42.76,45.40
SVK,,,,,,,,101.3,109.0,110.0,111.9,113.9,116.9,122.3,128.0,88.95,89.50,98.18,93.41,98.48,100.95,87.50,89.77,70.00,75.71,74.44,76.71,77.88,79.98,77.63,80.48
SVN,,,,,Prohibited,Slovenia,,102.7,103.3,105.2,108.4,110.2,112.1,113.2,114.6,50.24,48.01,51.29,46.35,48.12,49.90,43.07,44.71,64.00,70.00,67.34,68.35,72.68,71.59,73.10,75.50
SWE,,,,,,,,112.1,117.2,121.2,124.6,125.5,127.8,130.4,126.7,429.66,488.38,563.11,543.88,578.74,573.82,497.92,514.46,91.00,90.00,92.77,93.18,94.78,92.52,90.61,91.51
SWZ,,,,,,,,56.6,60.8,63.2,65.4,71.5,72.3,73.2,76.4,3.58,4.44,4.82,4.82,4.56,4.38,4.02,3.72,8.94,11.04,18.13,20.78,24.70,26.18,25.64,28.57
SXM,,,,,,,,,,,155.2,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
SYC,11/1/2014,,1414800000,Not exact,Added,Seychelles,Airtel,122.2,128.9,137.9,147.8,147.3,162.2,158.1,161.2,0.85,0.97,1.07,1.13,1.41,1.42,1.44,1.43,,41.00,43.16,47.08,50.40,51.25,54.26,56.51
SYR,,,,,,,,47.7,54.3,59.2,59.3,56.1,63.9,64.3,54.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,20.70,22.50,24.30,26.20,28.09,29.98,31.87
TCA,10/13/2016,,1476316800,Not exact,Added,Turks and Caicos,Digicel,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,
TCD,10/22/2014,,1413936000,Missing Data,Added,Chad,Tigo,20.1,24.5,30.3,35.4,35.6,39.8,40.2,44.5,9.25,10.66,12.16,12.37,12.95,13.92,10.89,9.60,1.50,1.70,1.90,2.10,2.50,2.90,3.50,5.00
